"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","detailed.consolidated.boulder.turfmat","detailed.consolidated.cobbles.nobiota","detailed.consolidated.cobbles.turfmat","detailed.consolidated.rock.nobiota","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.brown","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","detailed.total.points.annotated","mean.relief","sd.relief"
"npz6.24",-28.0787,113.4414,20210512,"npz6.27","NPZ6","Yes",22,58,80,0,0,0,0,1,0,0,0,0,5,2,11,0,0,0,0,2,0,3,2,0,0,0,0,0,0,26,3,0
"npz6.14",-28.0937,113.4213,20210512,"npz6.14","NPZ6","Yes",19,61,80,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,3,0,0,0,0,0,0,23,2.84615384615385,0.36794648440312
"npz6.6",-28.0837,113.4439,20210512,"npz6.6","NPZ6","Yes",7,33,40,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0
"npz6.2",-28.0612,113.4339,20210512,"npz6.2","NPZ6","Yes",14,66,80,0,4,12,0,0,0,0,3,0,0,1,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,28,1.45833333333333,0.508977377704051
"npz6.18",-28.0962,113.4438,20210512,"npz6.19","NPZ6","Yes",7,73,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1,0
"npz6.22",-28.0687,113.4512,20210512,"npz6.23","NPZ6","Yes",14,66,80,0,0,1,0,0,0,1,0,1,7,5,8,4,3,0,0,3,1,0,0,0,0,0,0,0,2,36,2.85714285714286,0.356348322549899
"npz6.20",-28.0736,113.4593,20210512,"npz6.21","NPZ6","Yes",15,64,79,0,5,5,0,2,0,0,3,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,3,0,23,1.15,0.366347548532523
"npz6.26",-28.0937,113.4563,20210512,"npz6.29","NPZ6","Yes",13,67,80,0,0,0,0,11,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2.08,0.276887462097269
"npz6.27",-28.0562,113.4464,20210512,"npz6.30","NPZ6","Yes",15,65,80,0,1,0,0,0,0,0,0,0,7,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,32,3,0
"npz6.8",-28.0688,113.3413,20210512,"npz6.8","NPZ6","Yes",11,69,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0,0
"npz6.15",-28.0588,113.3488,20210512,"npz6.15","NPZ6","Yes",15,65,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,26,0,0
"npz6.9",-28.0386,113.3814,20210512,"npz6.9","NPZ6","Yes",13,66,79,0,0,12,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,30,1,0
"npz6.13",-28.0611,113.3714,20210512,"npz6.13","NPZ6","Yes",12,68,80,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,21,2.14285714285714,0.853563956930837
"npz6.10",-28.0787,113.3764,20210512,"npz6.10","NPZ6","Yes",21,59,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,28,0,0
"npz6.17",-28.0837,113.3839,20210512,"npz6.18","NPZ6","Yes",6,33,39,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,14,2.57142857142857,0.646206172658864
"npz6.4",-28.0814,113.3988,20210512,"npz6.4","NPZ6","Yes",16,64,80,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,30,1,0
"npz6.21",-28.0714,113.3992,20210512,"npz6.22","NPZ6","Yes",8,69,77,0,0,0,0,2,0,10,0,0,0,0,0,0,0,4,0,0,4,1,5,3,0,0,0,2,0,31,2.15384615384615,0.36794648440312
"npz6.5",-28.0636,113.3935,20210512,"npz6.5","NPZ6","Yes",16,64,80,0,1,0,1,2,3,1,2,0,0,0,0,0,0,2,1,1,0,1,6,0,0,1,1,3,0,26,2,0.866025403784439
"npz6.12",-28.0512,113.2763,20210512,"npz6.12","NPZ6","No",19,61,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0
"npz6.C01",-28.1078,113.3706,20210512,NA,"NPZ6","Yes",18,62,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0
"npz6.28",-28.1237,113.3663,20210512,"out6.1","NPZ6","Yes",10,70,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0.166666666666667,0.514495755427527
"npz6.C02",-28.118,113.385,20210512,NA,"NPZ6","Yes",17,63,80,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,23,32,0,0
"npz6.BOSS41",-28.1137,113.3939,20210512,NA,"NPZ6","Yes",10,70,80,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,4,4,30,2.27272727272727,0.702500173314209
"npz6.36",-28.1062,113.4089,20210512,"out6.9","NPZ6","Yes",21,58,79,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,12,0,25,1.57692307692308,1.17211183504227
"npz9.7",-27.1162,113.1964,20210515,"npz9.7","NPZ9","Yes",18,62,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,18,34,1,0
"npz9.29",-27.1313,113.2089,20210515,"npz9.29","NPZ9","Yes",15,65,80,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,28,1,0
"npz9.12",-27.1462,113.2039,20210515,"npz9.12","NPZ9","Yes",21,59,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,24,1,0
"npz9.5",-27.151,113.214,20210515,"npz9.5","NPZ9","Yes",11,69,80,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,22,2.58333333333333,0.717281502356772
"npz9.9",-27.1288,113.1888,20210515,"npz9.9","NPZ9","Yes",7,73,80,0,1,1,0,0,0,7,1,0,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0,13,0,30,1.29166666666667,0.464305621487537
"npz9.26",-27.1437,113.2139,20210515,"npz9.26","NPZ9","Yes",14,65,79,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,14,7,36,1.34615384615385,0.485164524037584
"npz9.11",-27.1238,113.1889,20210515,"npz9.11","NPZ9","Yes",16,64,80,0,0,1,0,3,0,15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,3,29,1.23809523809524,0.538958431120797
"npz9.19",-27.1539,113.1764,20210515,"npz9.19","NPZ9","Yes",14,66,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,31,1,0
"npz9.30",-27.1187,113.1864,20210515,"npz9.30","NPZ9","Yes",17,63,80,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,24,0,34,0.95,0.223606797749979
"npz9.10",-27.1638,113.1565,20210515,"npz9.10","NPZ9","Yes",10,70,80,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,25,35,1,0
"npz9.22",-27.1537,113.1413,20210515,"npz9.22","NPZ9","Yes",17,63,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9,0,20,1,0
"npz9.2",-27.1411,113.1465,20210515,"npz9.2","NPZ9","Yes",19,61,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,25,1,0
"npz9.14",-27.1438,113.1364,20210515,"npz9.14","NPZ9","Yes",17,63,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,31,1,0
"npz9.3",-27.1312,113.1239,20210515,"npz9.3","NPZ9","Yes",21,59,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,1,0
"npz9.8",-27.1261,113.1189,20210515,"npz9.8","NPZ9","Yes",17,63,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,29,0,34,1.08695652173913,0.51460871969619
"npz9.24",-27.1311,113.1067,20210515,"npz9.24","NPZ9","Yes",17,62,79,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,12,29,0.842105263157895,0.688247201611685
"npz9.21",-27.1362,113.1014,20210515,"npz9.21","NPZ9","Yes",8,72,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,14,29,0.1,0.307793505625546
"npz9.16",-27.1187,113.109,20210515,"npz9.16","NPZ9","Yes",11,69,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,28,0,35,0.96,0.2
"npz9.27",-27.1164,113.1014,20210515,"npz9.27","NPZ9","Yes",12,68,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,0,35,1,0
"npz9.13",-27.1113,113.1038,20210515,"npz9.13","NPZ9","Yes",25,55,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,21,0,26,1.04,0.2
"npz9.17",-27.1012,113.0913,20210515,"npz9.17","NPZ9","Yes",16,64,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,10,0,27,0.956521739130435,0.474654024198412
"npz9.1",-27.0962,113.0863,20210515,"npz9.1","NPZ9","Yes",16,64,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,11,11,28,1.21739130434783,1.04257207028537
"npz9.28",-27.1013,113.0538,20210515,"npz9.28","NPZ9","Yes",13,67,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,31,0,0
"npz9.18",-27.1236,113.0664,20210515,"npz9.18","NPZ9","Yes",14,66,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0.25,0.444261658319319
"npz9.25",-27.1462,113.074,20210515,"npz9.25","NPZ9","Yes",6,74,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,32,0.1,0.307793505625546
"npz9.4",-27.1163,113.1139,20210515,"npz9.4","NPZ9","Yes",15,64,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,35,0.818181818181818,0.394771016975861
