"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","mean.relief","sd.relief"
"npz6.24",-28.0787,113.4414,20210512,"npz6.27","NPZ6","Yes",27.5,72.5,0,0,3.84615384615385,0,0,69.2307692307692,0,26.9230769230769,0,3,0
"npz6.14",-28.0937,113.4213,20210512,"npz6.14","NPZ6","Yes",23.75,76.25,0,0,0,0,0,86.9565217391304,0,13.0434782608696,0,2.84615384615385,0.36794648440312
"npz6.6",-28.0837,113.4439,20210512,"npz6.6","NPZ6","Yes",17.5,82.5,0,0,0,0,0,100,0,0,0,3,0
"npz6.2",-28.0612,113.4339,20210512,"npz6.2","NPZ6","Yes",17.5,82.5,0,0,57.1428571428571,0,0,32.1428571428571,0,10.7142857142857,0,1.45833333333333,0.508977377704051
"npz6.18",-28.0962,113.4438,20210512,"npz6.19","NPZ6","Yes",8.75,91.25,0,0,0,0,0,0,0,0,100,1,0
"npz6.22",-28.0687,113.4512,20210512,"npz6.23","NPZ6","Yes",17.5,82.5,0,0,2.77777777777778,0,2.77777777777778,77.7777777777778,0,11.1111111111111,5.55555555555556,2.85714285714286,0.356348322549899
"npz6.20",-28.0736,113.4593,20210512,"npz6.21","NPZ6","Yes",18.9873417721519,81.0126582278481,0,0,50,0,4.16666666666667,29.1666666666667,0,4.16666666666667,12.5,1.15,0.366347548532523
"npz6.26",-28.0937,113.4563,20210512,"npz6.29","NPZ6","Yes",16.25,83.75,0,0,28.9473684210526,0,0,71.0526315789474,0,0,0,2.08,0.276887462097269
"npz6.27",-28.0562,113.4464,20210512,"npz6.30","NPZ6","Yes",18.75,81.25,0,0,3.125,0,0,93.75,0,0,3.125,3,0
"npz6.8",-28.0688,113.3413,20210512,"npz6.8","NPZ6","Yes",13.75,86.25,0,0,0,3.57142857142857,3.57142857142857,0,0,0,92.8571428571429,0,0
"npz6.15",-28.0588,113.3488,20210512,"npz6.15","NPZ6","Yes",18.75,81.25,0,0,0,3.7037037037037,0,0,0,0,96.2962962962963,0,0
"npz6.9",-28.0386,113.3814,20210512,"npz6.9","NPZ6","Yes",16.4556962025316,83.5443037974684,0,0,63.3333333333333,0,20,0,0,3.33333333333333,13.3333333333333,1,0
"npz6.13",-28.0611,113.3714,20210512,"npz6.13","NPZ6","Yes",15,85,0,4.54545454545455,4.54545454545455,0,45.4545454545455,0,4.54545454545455,9.09090909090909,31.8181818181818,2.14285714285714,0.853563956930837
"npz6.10",-28.0787,113.3764,20210512,"npz6.10","NPZ6","Yes",26.25,73.75,0,0,0,0,0,0,0,0,100,0,0
"npz6.17",-28.0837,113.3839,20210512,"npz6.18","NPZ6","Yes",15.3846153846154,84.6153846153846,0,6.25,0,0,56.25,0,6.25,31.25,0,2.57142857142857,0.646206172658864
"npz6.4",-28.0814,113.3988,20210512,"npz6.4","NPZ6","Yes",20,80,0,3.2258064516129,80.6451612903226,0,0,0,0,12.9032258064516,3.2258064516129,1,0
"npz6.21",-28.0714,113.3992,20210512,"npz6.22","NPZ6","Yes",10.3896103896104,89.6103896103896,0,5.88235294117647,5.88235294117647,0,32.3529411764706,0,11.7647058823529,38.2352941176471,5.88235294117647,2.15384615384615,0.36794648440312
"npz6.5",-28.0636,113.3935,20210512,"npz6.5","NPZ6","Yes",20,80,0,0,24.1379310344828,10.3448275862069,3.44827586206897,6.89655172413793,10.3448275862069,27.5862068965517,17.2413793103448,2,0.866025403784439
"npz6.12",-28.0512,113.2763,20210512,"npz6.12","NPZ6","No",23.75,76.25,0,0,0,0,0,0,0,0,100,0,0
"npz6.C01",-28.1078,113.3706,20210512,NA,"NPZ6","Yes",22.5,77.5,0,0,0,0,0,0,0,0,100,0,0
"npz6.28",-28.1237,113.3663,20210512,"out6.1","NPZ6","Yes",12.5,87.5,0,0,0,0,3.57142857142857,0,0,0,96.4285714285714,0.166666666666667,0.514495755427527
"npz6.C02",-28.118,113.385,20210512,NA,"NPZ6","Yes",21.25,78.75,0,0,0,0,6.25,0,0,0,93.75,0,0
"npz6.BOSS41",-28.1137,113.3939,20210512,NA,"NPZ6","Yes",12.5,87.5,0,14.2857142857143,14.2857142857143,0,8.57142857142857,0,0,40,22.8571428571429,2.27272727272727,0.702500173314209
"npz6.36",-28.1062,113.4089,20210512,"out6.9","NPZ6","Yes",26.5822784810127,73.4177215189873,6.89655172413793,3.44827586206897,10.3448275862069,3.44827586206897,0,3.44827586206897,0,24.1379310344828,48.2758620689655,1.57692307692308,1.17211183504227
"npz9.7",-27.1162,113.1964,20210515,"npz9.7","NPZ9","Yes",22.5,77.5,0,0,0,0,0,0,0,0,100,1,0
"npz9.29",-27.1313,113.2089,20210515,"npz9.29","NPZ9","Yes",18.75,81.25,0,6.66666666666667,0,0,13.3333333333333,0,0,0,80,1,0
"npz9.12",-27.1462,113.2039,20210515,"npz9.12","NPZ9","Yes",26.25,73.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.5",-27.151,113.214,20210515,"npz9.5","NPZ9","Yes",13.75,86.25,0,0,0,0,59.0909090909091,0,0,40.9090909090909,0,2.58333333333333,0.717281502356772
"npz9.9",-27.1288,113.1888,20210515,"npz9.9","NPZ9","Yes",8.75,91.25,0,0,6.66666666666667,0,23.3333333333333,3.33333333333333,3.33333333333333,20,43.3333333333333,1.29166666666667,0.464305621487537
"npz9.26",-27.1437,113.2139,20210515,"npz9.26","NPZ9","Yes",17.7215189873418,82.2784810126582,0,0,2.77777777777778,0,13.8888888888889,0,0,2.77777777777778,80.5555555555556,1.34615384615385,0.485164524037584
"npz9.11",-27.1238,113.1889,20210515,"npz9.11","NPZ9","Yes",20,80,0,0,13.7931034482759,0,51.7241379310345,0,0,10.3448275862069,24.1379310344828,1.23809523809524,0.538958431120797
"npz9.19",-27.1539,113.1764,20210515,"npz9.19","NPZ9","Yes",17.5,82.5,0,0,3.2258064516129,0,0,0,0,0,96.7741935483871,1,0
"npz9.30",-27.1187,113.1864,20210515,"npz9.30","NPZ9","Yes",21.25,78.75,0,0,2.94117647058824,0,5.88235294117647,0,0,0,91.1764705882353,0.95,0.223606797749979
"npz9.10",-27.1638,113.1565,20210515,"npz9.10","NPZ9","Yes",12.5,87.5,0,0,0,2.77777777777778,13.8888888888889,0,0,2.77777777777778,80.5555555555556,1,0
"npz9.22",-27.1537,113.1413,20210515,"npz9.22","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.2",-27.1411,113.1465,20210515,"npz9.2","NPZ9","Yes",23.75,76.25,0,0,3.84615384615385,3.84615384615385,0,0,0,0,92.3076923076923,1,0
"npz9.14",-27.1438,113.1364,20210515,"npz9.14","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.3",-27.1312,113.1239,20210515,"npz9.3","NPZ9","Yes",26.25,73.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.8",-27.1261,113.1189,20210515,"npz9.8","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,100,1.08695652173913,0.51460871969619
"npz9.24",-27.1311,113.1067,20210515,"npz9.24","NPZ9","Yes",21.5189873417722,78.4810126582278,0,0,3.44827586206897,0,6.89655172413793,0,0,0,89.6551724137931,0.842105263157895,0.688247201611685
"npz9.21",-27.1362,113.1014,20210515,"npz9.21","NPZ9","Yes",10,90,0,0,0,0,3.44827586206897,0,0,0,96.551724137931,0.1,0.307793505625546
"npz9.16",-27.1187,113.109,20210515,"npz9.16","NPZ9","Yes",13.75,86.25,0,0,0,0,0,0,0,0,100,0.96,0.2
"npz9.27",-27.1164,113.1014,20210515,"npz9.27","NPZ9","Yes",15,85,0,0,0,0,0,0,0,0,100,1,0
"npz9.13",-27.1113,113.1038,20210515,"npz9.13","NPZ9","Yes",31.25,68.75,0,0,0,0,0,0,3.84615384615385,0,96.1538461538462,1.04,0.2
"npz9.17",-27.1012,113.0913,20210515,"npz9.17","NPZ9","Yes",20,80,0,0,0,0,0,0,0,3.7037037037037,96.2962962962963,0.956521739130435,0.474654024198412
"npz9.1",-27.0962,113.0863,20210515,"npz9.1","NPZ9","Yes",20,80,0,0,0,0,3.57142857142857,0,0,14.2857142857143,82.1428571428571,1.21739130434783,1.04257207028537
"npz9.28",-27.1013,113.0538,20210515,"npz9.28","NPZ9","Yes",16.25,83.75,0,0,0,0,0,0,0,0,100,0,0
"npz9.18",-27.1236,113.0664,20210515,"npz9.18","NPZ9","Yes",17.5,82.5,0,0,0,0,0,0,0,0,100,0.25,0.444261658319319
"npz9.25",-27.1462,113.074,20210515,"npz9.25","NPZ9","Yes",7.5,92.5,0,0,0,0,0,0,0,0,100,0.1,0.307793505625546
"npz9.4",-27.1163,113.1139,20210515,"npz9.4","NPZ9","Yes",18.9873417721519,81.0126582278481,0,0,2.85714285714286,0,0,0,0,0,97.1428571428571,0.818181818181818,0.394771016975861
